Question_Number,type,correct,explanation,options
1,multiple_choice,0,Business intelligence sử dụng data analysis tools and techniques để hỗ trợ quyết định trong doanh nghiệp.,"Data analysis tools and techniques,Marketing strategies,Customer service skills,Financial planning methods"
2,multiple_choice,0,Mục tiêu học tập của business intelligence là hiểu vai trò của data mining trong doanh nghiệp.,"Understand the role of data mining in business intelligence,Improve customer service skills,Develop marketing campaigns,Enhance financial planning methods"
3,multiple_choice,0,Business intelligence sử dụng data mining techniques để phân tích dữ liệu khách hàng.,"Data mining techniques,Social media marketing,Email campaigns,Market research surveys"
4,multiple_choice,0,Business intelligence giúp hỗ trợ quyết định trong doanh nghiệp.,"Support decision-making,Handle customer complaints,Manage inventory,Create advertising campaigns"
5,multiple_choice,0,Data mining là một kỹ thuật để phân tích dữ liệu khách hàng trong business intelligence.,"A technique to analyze customer data,A method to manage finances,A strategy for marketing,A tool for customer service"
6,multiple_choice,0,Business intelligence sử dụng data analysis tools để hỗ trợ quyết định.,"Data analysis tools,Graphic design software,Project management tools,Customer relationship management systems"
7,multiple_choice,0,Ví dụ về việc sử dụng data mining trong business intelligence là phân tích dữ liệu khách hàng.,"Analyzing customer data,Creating financial reports,Developing product prototypes,Conducting market research"
8,multiple_choice,0,Business intelligence giúp hỗ trợ quyết định trong việc phân tích dữ liệu.,"Support decision-making,Improve employee morale,Enhance product quality,Optimize supply chain management"
9,multiple_choice,0,Data analysis tools trong business intelligence được sử dụng để phân tích dữ liệu.,"Analyze data,Design logos,Schedule meetings,Train employees"
10,multiple_choice,0,Business intelligence giúp doanh nghiệp đưa ra quyết định có căn cứ.,"Make informed decisions,Handle customer complaints,Manage office supplies,Organize team building activities"
11,multiple_choice,0,Business intelligence đóng vai trò hỗ trợ quyết định trong quản lý doanh nghiệp.,"Support decision-making,Clean the office,Organize company events,Recruit new employees"
12,multiple_choice,0,Lợi ích chính của việc sử dụng data mining trong business intelligence là nhận biết các mẫu và xu hướng trong dữ liệu.,"Identifying patterns and trends in data,Increasing social media followers,Reducing office expenses,Expanding product line"
13,multiple_choice,0,Data analysis tools trong business intelligence giúp doanh nghiệp đưa ra quyết định dựa trên dữ liệu.,"Make data-driven decisions,Plan team building activities,Design marketing materials,Manage customer complaints"
14,multiple_choice,0,Business intelligence ảnh hưởng đến quyết định doanh nghiệp bằng cách cung cấp những hiểu biết từ phân tích dữ liệu.,"By providing insights from data analysis,By organizing company events,By managing office supplies,By recruiting new employees"
15,multiple_choice,0,Data mining trong business intelligence giúp doanh nghiệp khám phá các mẫu ẩn trong dữ liệu.,"Discover hidden patterns in data,Organize team meetings,Develop advertising campaigns,Handle customer inquiries"
16,multiple_choice,0,Business intelligence hỗ trợ quyết định trong doanh nghiệp bằng cách sử dụng data analysis tools and techniques.,"By using data analysis tools and techniques,By conducting market research,By training employees,By managing finances"
17,multiple_choice,0,Data analysis tools trong business intelligence giúp doanh nghiệp phân tích các bộ dữ liệu lớn một cách hiệu quả.,"Analyze large datasets efficiently,Design product packaging,Coordinate company events,Handle customer complaints"
18,multiple_choice,0,Business intelligence đóng vai trò quan trọng trong doanh nghiệp bằng cách cung cấp những hiểu biết quý giá cho quyết định.,"By providing valuable insights for decision-making,By organizing team-building activities,By managing office supplies,By recruiting new employees"
19,multiple_choice,0,Data mining trong business intelligence giúp phát hiện các mẫu và xu hướng trong dữ liệu.,"Uncover patterns and trends in data,Organize company files,Develop customer service strategies,Create advertising campaigns"
20,multiple_choice,0,Business intelligence sử dụng data mining techniques để phân tích dữ liệu khách hàng.,"Data mining techniques,Graphic design skills,Customer service methods,Financial planning strategies"
21,multiple_choice,0,Data analysis tools trong business intelligence giúp doanh nghiệp trong quyết định bằng cách cung cấp những hiểu biết quý giá từ phân tích dữ liệu.,"By providing valuable insights from data analysis,By organizing team-building activities,By managing office supplies,By recruiting new employees"
