Question_Number,Question_Text,Option_1,Option_2,Option_3,Option_4,Level,Student_Answer
1,What do aggregate functions in SQL do?,Perform calculations on a set of values and return a single value,Update records in a table,Delete records from a table,Insert new records into a table,basic,Perform calculations on a set of values and return a single value
2,Which aggregate function is used to calculate the total of a set of values?,SUM,AVG,MIN,MAX,basic,SUM
3,What does the AVG aggregate function do?,Calculates the average of a set of values,Calculates the total of a set of values,Finds the minimum value in a set of values,Finds the maximum value in a set of values,basic,Calculates the average of a set of values
4,Which aggregate function is used to find the smallest value in a set of values?,MIN,MAX,SUM,AVG,basic,MIN
5,How can you use the COUNT aggregate function in SQL?,To count the number of rows in a table,To calculate the total of a set of values,To find the average of a set of values,To find the smallest value in a set of values,basic,To count the number of rows in a table
6,What is an example of using the SUM aggregate function in SQL?,Calculating total salaries per department,Finding the average age of employees,Identifying the oldest employee,Counting the number of employees,intermediate,Calculating total salaries per department
7,How can you calculate the average salary of employees using the AVG aggregate function in SQL?,AVG(salary),SUM(salary),MIN(salary),MAX(salary),intermediate,AVG(salary)
8,Which aggregate function can be used to find the highest value in a set of values?,MAX,MIN,SUM,AVG,intermediate,MAX
9,What does the COUNT aggregate function return in SQL?,The number of rows that meet a specified condition,The total of a set of values,The average of a set of values,The smallest value in a set of values,intermediate,The number of rows that meet a specified condition
10,When would you use the MIN aggregate function in SQL?,To find the smallest value in a set of values,To calculate the total of a set of values,To count the number of rows in a table,To find the average of a set of values,intermediate,To find the smallest value in a set of values
11,How can you use the SUM aggregate function to calculate the total sales revenue?,SUM(revenue),AVG(revenue),MIN(revenue),MAX(revenue),advanced,SUM(revenue)
12,In what scenario would you use the AVG aggregate function in SQL?,To find the average age of customers,To count the number of orders,To calculate the total cost of products,To find the highest value in a set of values,advanced,To find the average age of customers
13,Which aggregate function can help you identify the department with the highest total expenses?,SUM,AVG,MIN,MAX,advanced,SUM
14,How can you use the COUNT aggregate function to find the number of unique customers?,COUNT(DISTINCT customer_id),COUNT(*),COUNT(customer_id),COUNT(DISTINCT *),advanced,COUNT(DISTINCT customer_id)
15,What is the purpose of using the MAX aggregate function in SQL?,To find the highest value in a set of values,To calculate the average of a set of values,To count the number of rows in a table,To find the smallest value in a set of values,advanced,To find the highest value in a set of values
16,When would you use the SUM aggregate function instead of AVG in SQL?,When you want to calculate the total of a set of values,When you want to find the average of a set of values,When you want to find the highest value in a set of values,When you want to count the number of rows in a table,advanced,When you want to calculate the total of a set of values
17,How can you use the MIN aggregate function to find the earliest order date?,MIN(order_date),MAX(order_date),AVG(order_date),SUM(order_date),advanced,MIN(order_date)
18,Which aggregate function can help you determine the department with the fewest employees?,COUNT,SUM,AVG,MIN,advanced,COUNT
19,What is the result of using the COUNT aggregate function with a WHERE clause in SQL?,The number of rows that meet the specified condition,The total of a set of values,The average of a set of values,The smallest value in a set of values,advanced,The number of rows that meet the specified condition
20,How can you use the AVG aggregate function to calculate the average rating of products?,AVG(rating),SUM(rating),MIN(rating),MAX(rating),advanced,AVG(rating)
21,When would you use the MAX aggregate function instead of MIN in SQL?,When you want to find the highest value in a set of values,When you want to find the smallest value in a set of values,When you want to calculate the total of a set of values,When you want to count the number of rows in a table,advanced,When you want to find the highest value in a set of values
