Question_Number,type,correct,explanation,options
1,multiple_choice,0,Data mining là quá trình khám phá mẫu và kiến thức từ lượng lớn dữ liệu.,"Khám phá mẫu và kiến thức từ lượng lớn dữ liệu,Xử lý dữ liệu,Lưu trữ dữ liệu,Phân tích dữ liệu"
2,multiple_choice,0,"Phân loại, phân cụm, và quy tắc kết hợp là các ví dụ của các kỹ thuật trong data mining.","Classification, clustering, association rules,Regression, forecasting, optimization,Sampling, summarization, visualization,Data cleaning, data integration, data transformation"
3,multiple_choice,0,Mục tiêu học tập của data mining là hiểu các kỹ thuật cơ bản trong lĩnh vực này.,"Hiểu các kỹ thuật cơ bản trong data mining,Xử lý dữ liệu lớn,Tạo ra dữ liệu mới,Phân tích dữ liệu cũ"
4,multiple_choice,0,Data mining thường được áp dụng trong lĩnh vực business intelligence.,"Business intelligence,Social media,Entertainment,Healthcare"
5,multiple_choice,0,Data mining là một phần của khái niệm business intelligence.,"Business intelligence,Big data,Data analytics,Data visualization"
6,multiple_choice,0,Đúng. Data mining là quá trình khám phá mẫu và kiến thức từ lượng lớn dữ liệu.,"Đúng,Sai,Không đủ thông tin để kết luận,Cả hai đều đúng"
7,multiple_choice,0,Phân loại dữ liệu là một ví dụ của kỹ thuật Classification trong data mining.,"Classification,Clustering,Association rules,Regression"
8,multiple_choice,0,Data mining giúp doanh nghiệp khám phá thông tin từ dữ liệu để hỗ trợ quyết định kinh doanh.,"Khám phá thông tin từ dữ liệu,Tạo ra dữ liệu mới,Lưu trữ dữ liệu,Phân tích dữ liệu cũ"
9,multiple_choice,0,Data mining được sử dụng để phân tích dữ liệu từ lượng lớn dữ liệu.,"Large amounts of data,Small amounts of data,Structured data only,Unstructured data only"
10,multiple_choice,0,Data mining là quá trình phân tích dữ liệu từ lượng lớn dữ liệu.,"Large amounts of data,Small amounts of data,Structured data only,Unstructured data only"
11,multiple_choice,0,Data mining là một phần của lĩnh vực business intelligence.,"Business intelligence,Data science,Machine learning,Artificial intelligence"
12,multiple_choice,0,Phân tích dữ liệu từ lượng lớn dữ liệu là mục tiêu của kỹ thuật Data mining.,"Data mining,Data cleaning,Data integration,Data transformation"
13,multiple_choice,0,Data mining giúp doanh nghiệp khám phá thông tin từ dữ liệu để hỗ trợ quyết định kinh doanh.,"Khám phá thông tin từ dữ liệu,Tạo ra dữ liệu mới,Lưu trữ dữ liệu,Phân tích dữ liệu cũ"
14,multiple_choice,0,Data mining thường được áp dụng trong lĩnh vực business intelligence để phân tích dữ liệu kinh doanh.,"Business intelligence,Social media,Entertainment,Healthcare"
15,multiple_choice,0,Đúng. Data mining là quá trình khám phá mẫu và kiến thức từ lượng lớn dữ liệu.,"Đúng,Sai,Không đủ thông tin để kết luận,Cả hai đều đúng"
16,multiple_choice,0,Data mining là một phần của khái niệm business intelligence để hỗ trợ quyết định kinh doanh.,"Business intelligence,Big data,Data analytics,Data visualization"
17,multiple_choice,0,Data mining giúp doanh nghiệp khám phá thông tin từ dữ liệu để hỗ trợ quyết định kinh doanh.,"Khám phá thông tin từ dữ liệu,Tạo ra dữ liệu mới,Lưu trữ dữ liệu,Phân tích dữ liệu cũ"
18,multiple_choice,0,Data mining thường được áp dụng trong lĩnh vực business intelligence để phân tích dữ liệu kinh doanh.,"Business intelligence,Social media,Entertainment,Healthcare"
