Question_Number,Question_Text,Option_1,Option_2,Option_3,Option_4,Level,Student_Answer
1,Business intelligence sử dụng công cụ và kỹ thuật nào để hỗ trợ quyết định trong doanh nghiệp?,Data analysis tools and techniques,Marketing strategies,Customer service skills,Financial planning methods,basic,Data analysis tools and techniques
2,Mục tiêu học tập của business intelligence là gì?,Understand the role of data mining in business intelligence,Improve customer service skills,Develop marketing campaigns,Enhance financial planning methods,basic,Understand the role of data mining in business intelligence
3,Business intelligence sử dụng kỹ thuật nào để phân tích dữ liệu khách hàng?,Data mining techniques,Social media marketing,Email campaigns,Market research surveys,basic,Data mining techniques
4,Business intelligence giúp gì trong quyết định doanh nghiệp?,Support decision-making,Handle customer complaints,Manage inventory,Create advertising campaigns,basic,Support decision-making
5,Data mining là gì trong business intelligence?,A technique to analyze customer data,A method to manage finances,A strategy for marketing,A tool for customer service,basic,A technique to analyze customer data
6,Business intelligence sử dụng công cụ nào để hỗ trợ quyết định?,Data analysis tools,Graphic design software,Project management tools,Customer relationship management systems,intermediate,Data analysis tools
7,Ví dụ về việc sử dụng data mining trong business intelligence là gì?,Analyzing customer data,Creating financial reports,Developing product prototypes,Conducting market research,intermediate,Analyzing customer data
8,Business intelligence giúp gì trong việc phân tích dữ liệu?,Support decision-making,Improve employee morale,Enhance product quality,Optimize supply chain management,intermediate,Support decision-making
9,Data analysis tools trong business intelligence được sử dụng để làm gì?,Analyze data,Design logos,Schedule meetings,Train employees,intermediate,Analyze data
10,Business intelligence giúp doanh nghiệp làm gì?,Make informed decisions,Handle customer complaints,Manage office supplies,Organize team building activities,intermediate,Make informed decisions
11,Business intelligence đóng vai trò gì trong quản lý doanh nghiệp?,Support decision-making,Clean the office,Organize company events,Recruit new employees,advanced,Support decision-making
12,Lợi ích chính của việc sử dụng data mining trong business intelligence là gì?,Identifying patterns and trends in data,Increasing social media followers,Reducing office expenses,Expanding product line,advanced,Identifying patterns and trends in data
13,Data analysis tools trong business intelligence giúp doanh nghiệp làm gì?,Make data-driven decisions,Plan team building activities,Design marketing materials,Manage customer complaints,advanced,Make data-driven decisions
14,Business intelligence ảnh hưởng đến quyết định doanh nghiệp như thế nào?,By providing insights from data analysis,By organizing company events,By managing office supplies,By recruiting new employees,advanced,By providing insights from data analysis
15,Data mining trong business intelligence giúp doanh nghiệp như thế nào?,Discover hidden patterns in data,Organize team meetings,Develop advertising campaigns,Handle customer inquiries,advanced,Discover hidden patterns in data
16,Business intelligence làm thế nào để hỗ trợ quyết định trong doanh nghiệp?,By using data analysis tools and techniques,By conducting market research,By training employees,By managing finances,advanced,By using data analysis tools and techniques
17,Data analysis tools trong business intelligence giúp doanh nghiệp như thế nào?,Analyze large datasets efficiently,Design product packaging,Coordinate company events,Handle customer complaints,advanced,Analyze large datasets efficiently
18,Business intelligence đóng vai trò quan trọng như thế nào trong doanh nghiệp?,By providing valuable insights for decision-making,By organizing team-building activities,By managing office supplies,By recruiting new employees,advanced,By providing valuable insights for decision-making
19,Data mining làm gì trong business intelligence?,Uncover patterns and trends in data,Organize company files,Develop customer service strategies,Create advertising campaigns,advanced,Uncover patterns and trends in data
20,Business intelligence sử dụng kỹ thuật nào để phân tích dữ liệu khách hàng?,Data mining techniques,Graphic design skills,Customer service methods,Financial planning strategies,advanced,Data mining techniques
21,Data analysis tools trong business intelligence giúp doanh nghiệp như thế nào trong quyết định?,By providing valuable insights from data analysis,By organizing team-building activities,By managing office supplies,By recruiting new employees,advanced,By providing valuable insights from data analysis
